[dotenv@17.2.3] injecting env (2) from .env -- tip: ⚙️  load multiple .env files with { path: ['.env.local', '.env'] }
✅ Server running on port 3000
✅ MongoDB connected
[2025-12-30T15:53:35.113Z] GET /api/boards/my
[2025-12-30T15:53:35.313Z] GET /api/boards/my
[2025-12-30T15:53:35.523Z] GET /api/boards/my
[2025-12-30T15:53:35.715Z] GET /api/boards/my
[2025-12-30T15:53:35.927Z] GET /api/boards/my
[2025-12-30T15:53:36.123Z] GET /api/boards/my
[2025-12-30T15:53:36.338Z] GET /api/boards/my
[2025-12-30T15:53:36.556Z] GET /api/boards/my
[2025-12-30T15:53:36.758Z] OPTIONS /api/boards/my
[2025-12-30T15:53:36.763Z] GET /api/boards/my
[2025-12-30T15:53:36.964Z] GET /api/boards/my
[2025-12-30T15:53:37.159Z] GET /api/boards/my
[2025-12-30T15:53:37.372Z] GET /api/boards/my
[2025-12-30T15:53:37.580Z] GET /api/boards/my
[2025-12-30T15:53:37.785Z] GET /api/boards/my
[2025-12-30T15:53:37.999Z] GET /api/boards/my
[2025-12-30T15:53:38.207Z] GET /api/boards/my
[2025-12-30T15:53:38.417Z] GET /api/boards/my
[2025-12-30T15:53:38.628Z] GET /api/boards/my
[2025-12-30T15:53:38.812Z] GET /api/boards/my
[2025-12-30T15:53:39.035Z] GET /api/boards/my
[2025-12-30T15:53:39.243Z] GET /api/boards/my
[2025-12-30T15:53:39.446Z] GET /api/boards/my
[2025-12-30T15:53:39.659Z] GET /api/boards/my
[2025-12-30T15:53:39.849Z] GET /api/boards/my
[2025-12-30T15:53:40.061Z] GET /api/boards/my
[2025-12-30T15:53:40.276Z] GET /api/boards/my
[2025-12-30T15:53:40.483Z] GET /api/boards/my
[2025-12-30T15:53:40.695Z] GET /api/boards/my
[2025-12-30T15:53:40.905Z] GET /api/boards/my
[2025-12-30T15:53:41.113Z] GET /api/boards/my
[2025-12-30T15:53:41.343Z] GET /api/boards/my
[2025-12-30T15:53:41.533Z] GET /api/boards/my
[2025-12-30T15:53:41.742Z] GET /api/boards/my
[2025-12-30T15:53:41.928Z] OPTIONS /api/boards/my
[2025-12-30T15:53:41.930Z] GET /api/boards/my
[2025-12-30T15:53:42.146Z] GET /api/boards/my
[2025-12-30T15:53:42.378Z] GET /api/boards/my
[2025-12-30T15:53:42.564Z] GET /api/boards/my
[2025-12-30T15:53:42.773Z] GET /api/boards/my
